pathway_id,pathway_name,score,rank
R-HSA-9013149,RAC1 GTPase cycle,0.4594424874369289,130
R-HSA-162588,Budding and maturation of HIV virion,0.42701859244055523,131
R-HSA-1632852,Macroautophagy,0.42701859244055523,132
R-HSA-5620971,Pyroptosis,0.42701859244055523,133
R-HSA-917729,Endosomal Sorting Complex Required For Transport (ESCRT),0.42701859244055523,134
R-HSA-9610379,HCMV Late Events,0.42701859244055523,135
R-HSA-9615710,Late endosomal microautophagy,0.42701859244055523,136
R-HSA-9679504,Translation of Replicase and Assembly of the Replication Transcription Complex,0.42701859244055523,137
R-HSA-9694676,Translation of Replicase and Assembly of the Replication Transcription Complex,0.42701859244055523,138
R-HSA-381038,XBP1(S) activates chaperone genes,0.4158468431654175,139
R-HSA-6803529,FGFR2 alternative splicing,0.39333674144047104,140
R-HSA-1660661,Sphingolipid de novo biosynthesis,0.3689371521272463,141
R-HSA-9013106,RHOC GTPase cycle,0.30021355528949883,142
R-HSA-9013404,RAC2 GTPase cycle,0.30021355528949883,143
R-HSA-9013405,RHOD GTPase cycle,0.30021355528949883,144
R-HSA-9013408,RHOG GTPase cycle,0.30021355528949883,145
R-HSA-975634,Retinoid metabolism and transport,0.28692264068769974,146
R-HSA-8980692,RHOA GTPase cycle,0.26825698829851563,147
R-HSA-8986944,Transcriptional Regulation by MECP2,0.25125656465205204,148
R-HSA-389661,Glyoxylate metabolism and glycine degradation,0.25035661477288473,149
R-HSA-9033241,Peroxisomal protein import,0.25035661477288473,150
R-HSA-204005,COPII-mediated vesicle transport,0.23630042130753245,151
R-HSA-3295583,TRP channels,0.22445452830502047,152
R-HSA-1268020,Mitochondrial protein import,0.20406614330597028,153
R-HSA-3214847,HATs acetylate histones,0.19450462641885052,154
R-HSA-167161,HIV Transcription Initiation,0.15749891872896235,155
R-HSA-167162,RNA Polymerase II HIV Promoter Escape,0.15749891872896235,156
R-HSA-167172,Transcription of the HIV genome,0.15749891872896235,157
R-HSA-674695,RNA Polymerase II Pre-transcription Events,0.15749891872896235,158
R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,0.15749891872896235,159
R-HSA-73776,RNA Polymerase II Promoter Escape,0.15749891872896235,160
R-HSA-73779,RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,0.15749891872896235,161
R-HSA-75953,RNA Polymerase II Transcription Initiation,0.15749891872896235,162
R-HSA-76042,RNA Polymerase II Transcription Initiation And Promoter Clearance,0.15749891872896235,163
